Nom de la région,Ville,location,point
Île-de-France,Paris,"Paris, Île-de-France, France métropolitaine, France","(48.8, 2.5, 0.0)"
Champagne-Ardenne,Châlons-en-Champagne,"Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51000, France","(48.85, 4.3628851, 0.0)"
Picardie,Amiens,"Amiens, Somme, Hauts-de-France, France métropolitaine, France","(49.8, 2.45, 0.0)"
Haute-Normandie,Rouen,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France","(49.35, 1.2, 0.0)"
Centre,Orléans,"Orléans, Loiret, Centre-Val de Loire, France métropolitaine, France","(47.65, 2.15, 0.0)"
Basse-Normandie,Caen,"Caen, Calvados, Normandie, France métropolitaine, 14000, France","(49.1, -0.3, 0.0)"
Bourgogne,Dijon,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France","(47.05, 4.75, 0.0)"
Nord-Pas-de-Calais,Lille,"Lille, Nord, Hauts-de-France, France métropolitaine, France","(50.6365654, 3.0635282, 0.0)"
Lorraine,Metz,"Metz, Moselle, Grand Est, France métropolitaine, France","(49.05, 6.3, 0.0)"
Alsace,Strasbourg,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France","(48.584614, 7.7, 0.0)"
Franche-Comté,Besançon,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France","(47.05, 6.3, 0.0)"
Pays de la Loire,Nantes,"Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France","(47.2186371, -1.5, 0.0)"
Bretagne,Rennes,"Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, France","(48.1113387, -1.6800198, 0.0)"
Poitou-Charentes,Poitiers,"Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France","(46.5802596, 0.340196, 0.0)"
Aquitaine,Bordeaux,"Bordeaux, Nouvelle-Aquitaine, France métropolitaine, France","(44.4, -0.5800364, 0.0)"
Midi-Pyrénées,Toulouse,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France","(43.4, 1.6, 0.0)"
Limousin,Limoges,"Limoges, Haute-Vienne, Nouvelle-Aquitaine, France métropolitaine, France","(45.8354243, 1.2644847, 0.0)"
Rhône-Alpes,Lyon,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","(45.5, 5, 0.0)"
Auvergne,Clermont-Ferrand,"Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, France","(45.55, 3.3, 0.0)"
Languedoc-Roussillon,Montpellier,"Montpellier, Hérault, Occitanie, France métropolitaine, France","(43.45, 4.1, 0.0)"
Provence-Alpes-Côte d'Azur,Marseille,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13000, France","(43, 5.8, 0.0)"
